投诉者帐号名,介绍,是否认证,认证类型（机构/个人）,
民谣陈二狗,这个世界如此喧哗，让沉默的人显得有点傻,否,,
天抹微云哦,,否,,
安监都江堰,认证：四川省都江堰市安全生产监督管理局官方微博,是,机构,
我会一个人好好的活着,,否,,
重庆男神杰先生,认证：重庆大博汽车销售有限公司售后区域经理,是,个人,
城阳交警流亭中队,认证：青岛城阳交警流亭中队官方微博,是,机构,
户县公安,认证：户县公安局官方微博,是,机构,
射手座wqj,,否,,
Dragon_林小龙,FANTASTIC,否,,
Sagittariuslee,余生只愿你俩平安喜乐,否,,
顺德人话顺德,顺德的白金汉宫,否,,
群isiz,和自己聊天的地方,否,,
Andy_fly,- -//,否,,
甲鸟笑笑,®售前售后任何问题都可找我，微博不一定更新，微信名是YAYA,否,,
马建平舆情在线,认证：头条文章作者,是,个人,
洛克烧,,否,,
李黑磊,是谁？,否,,
如皋市城市管理监督指挥中心,更科学、更高效、更智慧地管理城市。,否,,
暴走的小鸟微博,,否,,
卡农来泽尔,,否,,
Adelais温,做个快乐的人儿,否,,
奥巴家的骡子,一只喜欢阅读，思考，尝试的骡子。 微信公号ID hjdxe1911 欢迎...,否,,
竹一妈妈,竹杖芒鞋轻胜马，谁怕？ 一蓑烟雨任平生。,否,,
一点红2881692603,不知道，自己是肿么了，傻了吧！,否,,
卡卡侬kandar,杰西卡，我爱你⚾,否,,
思埠黛莱美授权总代艳子,认证：广东思埠集团 思埠授权经销商,是,个人,
中青网江西,认证：中国青年网江西频道官方微博,是,机构,
廉洁江西,认证：江西省纪委省监委官方微博,是,机构,
广西上思县法院,认证：广西壮族自治区防城港上思县人民法院官方微博,是,机构,
防城港市中级法院,认证：广西防城港市中级人民法院官方微博,是,机构,
上海金山教育,认证：上海市金山区教育局官方微博，教育官微联盟成员,是,机构,
浮云载日,认证：  高级中学教师,是,个人,
丝语叶邦文,做专业的葫芦丝。,否,,
街角顽童,中国云南省昆明市街头巷尾拍砖达人,否,,
非小样,路的尽头，仍然是路，只要你愿意和我一起走,否,,
Agua00,认证：昆明市西游洞公园管理有限公司 副总经理,是,个人,
起夜家F,纯属虚构，够用一生。,否,,
片儿警老卓,莆田本土微博， 致力于莆田安全防范、分享和谐莆田生活的点点...,否,,
平安新沂,认证：江苏省徐州市新沂市公安局官方微博,是,机构,
重庆市大足区消防支队,认证：重庆市大足区公安消防支队官方微博,是,机构,
都市现场,认证：江西都市频道王牌栏目“都市现场”官方微博,是,机构,
江西东乡消防,认证：江西省抚州市东乡县公安消防大队官方微博,是,机构,
金鹰955电台,认证：湖南金鹰955电台官方微博,是,机构,
安庆市华亭消防大队,认证：安徽省安庆市华亭公安消防大队官方微博,是,机构,
留溪君彦,认证：中国近代文学南社和柳亚子研究会理事、上海南社研究中心助理、留溪生活网站长,是,个人,
中国之声,认证：中央人民广播电台新闻综合频率、声动中国年度最佳电台,是,机构,
掘智传媒,认证：南京掘智文化传媒有限公司,是,机构,
陈文伍,认证：《文伍书系》负责人，主编《80后作家访谈录Ⅱ》，《青春纪》等 知名读物博主 头条文章作者 微博签约自媒体,是,个人,
南京气象,认证：南京市气象局官方微博,是,机构,
姜淮主治医师,认证：医生 姜淮,是,个人,
南京零距离,认证：江苏广电总台城市频道新闻栏目官方微博,是,机构,
罗清亮LQL,,否,,
人民网江苏频道,认证：人民网江苏视窗官方微博,是,机构,
记者谈春平,认证：媒体人（太原） 市场信息报记者谈春平,是,个人,
南京头条-,认证：本地资讯博主（南京）http://t.cn/RUmMhZ7,是,个人,
FM999,认证：陕西电视台FM99.9调频广播官方微博,是,机构,
937江苏新闻广播,认证：江苏广播电视总台新闻广播官方微博、声动中国最受欢迎电台,是,机构,
陕西都市热线,认证：陕西电视台都市热线,是,机构,
见闻实时新闻,认证：华尔街见闻实时新闻 官方微博,是,机构,
南京同城会,认证：南京同城会官方微博 微博区域新媒体（江苏）站,是,机构,
大厂零距离,关注#大厂身边稀奇事#古怪事#趣味事#不平事#大事小事突发事#事...,否,,
新浪江苏,认证：新浪江苏官方微博，新浪看点江苏站官方微博,是,机构,
晶报,认证：深圳晶报官方微博,是,机构,
江苏新闻,认证：江苏广电总台融媒体新闻中心,是,机构,
南京头条,认证：知名本地博主 本地资讯博主（南京）,是,个人,
cury30,一个政党没有了民心就什么也没有了…,否,,
大厂人爱大厂,大厂人，大厂事，欢迎分享爆料.......,否,,
东阳发布,认证：浙江省东阳市委市政府新闻办公室官方微博,是,机构,
江南鸟鸣涧,,否,,
十年前这首歌还不红,女的，就是女的,否,,
小峰峰320,黑乎乎,否,,
原来生活可以更精彩,,否,,
opooooqo,,否,,
陳先生2436936,,否,,
白狼跑了,,否,,
忒疯长的野草,55809506009,否,,
绿满江淮,认证：安徽省首家民间环保组织，致力于促进安徽人与环境的可持续发展。,是,机构,
痴人智浅,最好的心态是平静；最好的状态是简单；最好的感觉是自由；最好...,否,,
恩典的记号3,施比受更为有福！！！,否,,
Tory甶樣,□80后□奔3□没房□没车□没钱□没相貌□没身材□没口才□没...,否,,
董朗致,,否,,
寒亭环保,认证：潍坊市环境保护局寒亭分局官方微博,是,机构,
中国石化塔河炼化公司,认证：中国石化塔河炼化公司官方微博,是,机构,
祥仔冯,认证：中国石化塔河炼化有限责任公司科员,是,个人,
月银倾,银倾之象，月银之泪,否,,
醉清醒Me,,否,,
霹雳巴拉bong,,否,,
郭0205磊,新闻民工一枚 呼和浩特广播电视台《青城交通》制片人,否,,
还尽来生的眼泪,,否,,
雷蒙host,认证：内蒙古电视台经济频道《百姓热线》主持人雷蒙,是,个人,
熙苒VICKY,非典双鱼，慢热星人，遇疯则疯，喜怒无常。,否,,
追着幸福跑2012,,否,,
玉蕊红梅,科普中国移动互联科学传播榜【2015年度榜人物】优秀科普传播人,否,,
江北新区综合行政执法,认证：江苏省南京市江北新区管理委员会综合行政执法局官方微博,是,机构,
袭染衣_42417,我愿青春不悔，友谊常在，身体健康，家人安康，此外，别无他求...,否,,
匆匆de_126,,否,,
大CC是刺猬,,否,,
妞儿的领导,希望两鬓斑白时我们仍旧手牵手,否,,
我是赵书晗,做一个快乐的人,否,,
Cardolan_sky,心中要有火焰,否,,
西安身边事,认证：微博西安同城大使 知名本地博主 资讯视频自媒体,是,个人,
西安新城,认证：西安市新城区委宣传部官方微博,是,机构,
易卜拉欣-苏,,否,,
洛溪0327,白羊女,否,,
糖绵绵花,斯人如彩虹，遇见方知有。,否,,
CHELSEA_林,切尔西,否,,
咔咔AA1,爱吃，爱玩，爱逛街，爱看电视剧，爱上网，爱发脾气，爱哭，爱...,否,,
仿佛听见有人说我丑,,否,,
道理道理我就是道理,,否,,
古天之尊,,否,,
庄引_,五一不宅在家。 君子不党，和而不同。,否,,
那就叫锦瑟吧,明天和意外，哪个先来,否,,
童童妈Tinky,[̲̅V̲̅I̲̅P̅]❤。想要的东西越多越不快乐，多想想已经...,否,,
星期天的下午茶,,否,,
塔城地区广播电视台,认证：新疆塔城地区电视台网官方微博,是,机构,
孙双虎,光，柔儿暖；风，轻而惬；情，真而切【QQ308198995】。。 淘宝...,否,,
内部折扣卷,http://lulu.c8d8.com/(卷乐购)淘宝商品内部折扣卷。,否,,
知足的小若溪,拿证拿证……,否,,
温欣_Sherry,,否,,
火星MC,My name is Very Fucking Confused. What's your name?,否,,
非常7加1_,,否,,
遥望的傻瓜,矛盾方程式！,否,,
张良_中轴线,,否,,
人间小爬,,否,,
佛陀座下一颗珠子,狼,否,,
guminzhao,开开心心，好好活着,否,,
蛮妞妞丫头,认证：  邯郸市丛台区玄璇服饰店经营者,否,,
郑州大学生的新鲜事,璞玉们的大学，不一样的态度。,否,,
朱小浩,认证：前 旺旺集团乌鲁木齐分公司 中级事务员,是,个人,
朱宝GRACE,chandelier,否,,
新疆胡狼,新疆走8户外探险合伙人、领队，国家社会体育指导员，新疆登山...,否,,
吃货吃完就睡,那阳光，碎裂在熟悉场景，好安静，一个人，能背多少的往事，真...,否,,
邳州司法,认证：江苏省邳州市司法局官方微博,是,机构,
---屎壳郎先生---,啊。那个。。这个。。,否,,
A1ex_inamin,认证：知名动漫博主,是,个人,
千金买酒,只有拥有充足的睡眠才能保证全身心的认真生【hua】活【chi】,否,,
小丸子想跳迈克舞,一本正经的假正经,否,,
琰棱,认证：CFP签约摄影师 携程旅行网特约撰稿人 秒拍达人 微博签约自媒体,是,个人,
宜昌消防,认证：湖北省宜昌市公安消防支队官方微博,是,机构,
人民铁道网,认证：人民铁道网官方微博,是,机构,
只是偶尔间歇的神经病,我想过着我想要的，积极乐观的生活……,否,,
国网常州供电公司,认证：江苏省电力公司常州供电公司官方微博,是,机构,
所以还是没想出个像样的昵称来,A failure. 🌏⛄󾓧 .,否,,
老衲让你受婧了,认证：Adobe认证产品专家,是,个人,
TKD点点,我是90我自豪。,否,,
停在夏天的小飞机,,否,,
杭州临安消防大队,认证：杭州市公安消防局临安大队官方微博,是,机构,
广安经开区安监分局,认证：四川省广安市安全生产监督管理局经济技术开发区分局官方微博,是,机构,
好空气自然田,email:taujou777@gmail.com,否,,
亍尐嬌,,否,,
trisyang,,否,,
滕州网事,认证：本地资讯博主（滕州）http://t.cn/RUmMhZ7 #枣庄#超级话题主持人 头条文章作者,是,个人,
虎门华少,不爱一般人，一般人不爱，爱人不一般,否,,
平安洛宁,认证：河南省洛阳市洛宁县公安局,是,机构,
NXTV-都市阳光,认证：宁夏广播电视总台经济频道《都市阳光》栏目,是,机构,
Aran娆小娆_,不动则不痛。,否,,
----Gt,,否,,
JadderZoo,谁怕，一蓑烟雨任平生；归去，也无风雨也无情,否,,
抗霾的未来,山东空气观察团团员,否,,
7777777Esther,,否,,
读取障碍,,否,,
西橙丷丶,将相本无种、男儿当自强！,否,,
Wo_佳郁,我就是我，不一样的烟火……,否,,
乌蝇AP竞速刹车专门店2133583161,人不犯我我不犯人，如若犯我，唔理你係边个，我照斩你老母。,否,,
我不是张三丰,一座城市再喧闹，没你，便是空城；一个角落再陌生，有你，便是...,否,,
会飞的大闸蟹201410,,否,,
独恋当当_20993,老天啥时候才能将那群不做事说假话的王八蛋干掉,否,,
嘉凤凤,认证：新浪时尚美搭潮人,是,个人,
VV光头强,打击妄人，,否,,
Levi_李宇恒,,否,,
许龙原,,否,,
创新南山,认证：深圳市南山区委（区政府）官方微博,是,机构,
我心飞翔jerry,那些垃圾营销，卖面膜的，卖保健品，卖服装的，搞金融的请勿关...,否,,
37度ice,无烟少酒环保斗士&独思不跟随时评者&摄影师,否,,
张十七不吃鱼,平安，健康。,否,,
狭路相逢正者胜,深圳福田梅林雕塑家园，物业公司恶意停电迫害上访业主，让业主...,否,,
逗比3721,,否,,
落寞式的微笑2013,认证：深圳市志愿者王日旺,是,个人,
gemini1680,,否,,
平淡朂眞_78243,多看看新闻,否,,
共青团临渭区委,认证：共青团陕西渭南市临渭区委员会官方微博,是,机构,
嘉诺传媒,认证：渭南嘉诺文化传媒有限责任公司,是,机构,
番茄剑圣,,否,,
盐大烤,。。。。。。。。,否,,
不要吃萝卜_YH,just Jung Yong Hwa💞,否,,
西安外事学院微校园,认证：校园资讯博主（西安）,是,个人,
抹茶男孩吃饱了撑的,,否,,
yk秋寒1918,我曾经跨过山和大海，也穿过人山人海，我曾经拥有着一切，转眼...,否,,
彩兔子的小蘑菇,我的微博我的净土，我的微博我做主！,否,,
让小猪飞2013,,否,,
南昌湾里,认证：江西省南昌市湾里区官方微博,是,机构,
张璐zlu,清静能识根源。。,否,,
FLY123056,你若自在，清風自來...,否,,
不要枪炮要rose,,否,,
青蛙LYL,其实有很多人你留不住，最后会发现身边的人越来越少，和志不同...,否,,
抚顺同城会,认证：抚顺同城会官方微博,是,机构,
没心没肺一吃货007,行至水穷处，坐看云起时。,否,,
旗木丨卡卡西,,否,,
平常陌生人,不想当老板的员工不是个好兄弟,否,,
生态瓯海,认证：浙江省温州市瓯海区环境保护局官方微博,是,机构,
随心所说的Alan,随心所说 快乐人生！,否,,
北极洲com,似水流年，志存高远,否,,
绿色天中,,否,,
绿色天中2014,,否,,
烟花易冷19950416,螃蟹在剥我的壳，笔记本在写我，满天的我落在枫叶上雪花上，而...,否,,
Silver_April,,否,,
EllieYoung,Fun love forever young.,否,,
让您贱笑了在路上,,否,,
翟陈,君子道其常，小人计其功！,否,,
视界000,,否,,
粉丝往这看,让生活简单一点，让快乐多一点。,否,,
manymanymary,,否,,
从良菠菜ye,三千年读史，不外功名利禄；九万里悟道，终归诗酒田园!,否,,
彭建增,扛摄像机的人——用镜头记录人生点滴！,否,,
老啄阿东,,否,,
HY守护晴天,凿空自己，蓄满温柔！,否,,
守护家乡水,守护身边水及空气，扼制一切破坏生态环境的行为。,否,,
格根夫,认证：半程马拉松运动员,是,个人,
妒风笑月q,认证：广州军区武汉总医院 护士,是,个人,
Ian易,让每一个人都能喝到一杯好茶！,否,,
NITE_001,,否,,
郝思嘉lj,,否,,
偏不告诉你真名,如果失去是苦，你还怕不怕付出 如果坠落是苦，你还要不要幸福 ...,否,,
大VvS,布朗🐑,否,,
上帝选中的俄罗斯人,才下舌尖，又上心头！,否,,
庄引之,互联网违法和不良信息义务监督员 大前端工程师,否,,
我的亲爱的小孩,,否,,
重庆万州环保,认证：重庆市万州区环保局官方微博,是,机构,
Julydesk,Beyond,否,,
LB空壳,大家都玩推特了，因为那不会删帖子 封账号。民主派人士，非爱...,否,,
岳叔的舒,坤音四子了解一下,否,,
还是父母身边的孩子吧,别问我是谁，一个现实中见不到的面孔！,否,,
不跑就飞,,否,,
黑灰机,曾用名：惟紫梦🎈🎈🎈 既然选择了远方，便只顾风雨兼程。 ...,否,,
千方计,爱生活的，爱旅游的人,否,,
mayu家的墨弦桑,逗比青年，探索世界中，努力做一个温柔且强大的人 本命松冈茉...,否,,
愛妳在手心,,否,,
羊年小猴,做一个对得起自己良心的人,否,,
315黄金眼,认证：法律博主 #法庭说事#超级话题小主持人,是,个人,
包头发布,认证：包头市政府新闻办官方微博,是,机构,
AxelaRen義,有種出來騎車！,否,,
李小小小小,,否,,
宁波新鲜事速报,阿拉宁波人，分享宁波新鲜事！,否,,
低调撕文人,,否,,
柴禾牛,,否,,
oliver萌,阳光，内向，安静,否,,
打篮球的遥控器,,否,,
绿色潍坊,绿色潍坊环保行动组官方微博,否,,
小朵乖,,否,,
流年斑驳了誰的旧時光,自己动手 丰衣足食,否,,
董大正-Dzz,18660753950,否,,
从菏而来,认证：微博菏泽同城大使 知名本地博主 #菏泽#超级话题主持人,是,个人,
小胖豪豪,,否,,
2046亡鱼是深海的疤,,否,,
神宝儿yu,你的眼里充满光明,否,,
星尧美肤专家,V信：eagle21414； QQ：17361070,否,,
流浪的白云LDM,梦想还是要有的，万一实现了呢！世界那么大，好想去看看！,否,,
疯子一样的小白,,否,,
东营大众网,认证：东营大众网 官方微博 http://dongying.dzwww.com/,是,机构,
乌铪1996,忘记过去的人注定重蹈覆辙,否,,
wh-于帥,,否,,
朱猛Say,心有阳光走到哪里哪里都是晴天。,否,,
老樟树南京,人在中年,否,,
-孫-悅-,认证：前 北京大学中国社会科学调查中心调查访问员,是,个人,
梅干菜_扣肉,,否,,
滨州高新环保,认证：滨州高新区环保办官方微博,是,机构,
磨石溪人MrZ,一个爱好广泛的电工,否,,
霍市杨子,广交朋友,否,,
Gondora,海盗党,否,,
闲着整两句,"one apple a day,keep the doctor away",否,,
冷小男---哒哒哒,挽留不住的爱就让她飘散于空中…,否,,
蔣蔣Jean,,否,,
LT_cl,"work hard, stay humble",否,,
大艹子,然并卵,否,,
女神范的不想停的毛毛雨w_s,注重自己，关注他人；宏观社会，微观细节。慈善、友爱、环保和...,否,,
上上若树,认证：湘潭环境保护协会常务理事,是,个人,
一个土豆1999,修合虽无人见，存心自有天知。,否,,
神奇的咪咪猫,有生之年，狭路相逢，终不能幸免•﹏•,否,,
环保老孙,行动起来，共同呵护我们的碧水蓝天！,否,,
环保小猫,"Don't try so hard,the best things come when you least exc...",否,,
萧关小楠,,否,,
彻底落实爱老婆精神84420,,否,,
久元-继,,否,,
迷失的陀螺123456,转转转 转转转 轻轻地闭上我的眼,否,,
龙岗发电运行,许昌龙岗发电有限责任公司发电部二值，务实 奉献 创新 奋进，...,否,,
记者马建军,认证：《祖国》记者 头条文章作者,是,个人,
楠溪环境观察,人不能这么无耻！不守信不说，居然无耻到拿公益款去豪华酒店吃...,否,,
瓷都林风,,否,,
项伟JXwa,有才而性缓定属大才，有智而气和斯为大智。,否,,
新闻喉舌小梁,认证：媒体人（榆林）,是,个人,
中国质量新闻网,认证：中国质检报刊社官方微博,是,机构,
伊东工业园区1,认证：新疆伊犁伊宁县伊东工业园管理委员会官方微博,是,机构,
伊宁县曲鲁海乡,认证：新疆伊犁伊宁县曲鲁海乡人民政府官方微博,是,机构,
沈阳晚报,认证：沈阳晚报官方微博,是,机构,
彦涵她爹,涵涵最近蛮乖！,否,,
宋奥娘,好色之徒,否,,
此人已死999,别卖萌了 敢用登记照当头像吗？,否,,
南宁货运中心,认证：中国铁路南宁局集团有限公司南宁货运中心官方微博,是,机构,
德清建设,认证：浙江省湖州市德清县建设局官方微博,是,机构,
我搬砖我快乐,我搬砖，我快乐！,否,,
南宁发布,认证：南宁市委宣传部官方微博,是,机构,
桂林工务段,认证：中国铁路南宁局集团有限公司桂林工务段官方微博,是,机构,
PECC_FC,,否,,
昆山陆家中学,认证：昆山市陆家中学官方微博,是,机构,
zyl_-,用声音陪你度过每个白天黑夜，随时给你一份温暖。朗朗月光，普...,否,,
楚雄周知,认证：本地资讯博主（楚雄）,是,个人,
不喜欢就滚_人云亦云,回忆是没有力量的。,否,,
倫落de將軍,认证：湖北卫视编导,是,个人,
大肥熊是你,,否,,
散宝宝的夏天,After all this time？ Always.,否,,
伊里_岳蓝,插画者，动漫制作者,否,,
小小哈儿会魔法,知我罪我，唯其春秋,否,,
薇薇一笑_倾城,择一城终老，携一人白首,否,,
喬徳远,,否,,
Yy大懒猫T_T,遇见，刚刚好的自己。,否,,
麋鹿的小围脖,,否,,
Miraccccccle,life fucks us all,否,,
诠释zhe幸福,你的出现永远改变着我的星轨，无论你在哪里,否,,
阿翔要用心,追寻心中的力量。。,否,,
哥斯拉的伤,或许这次拧下油门 我就不回来了,否,,
环保小卫士_2015,,否,,
豫鲁风骨,,否,,
Lance_爱是忧郁的蓝,认证：淄博人民广播电台新闻频道 特约通讯员,是,个人,
请叫我尚武哥,我叫胖虎,否,,
梦梦梦微凉,莲生三十二、瓣瓣不相同。,否,,
工藤新你个二,中药外敷🌿不节食不运动，月瘦15斤！微信：liusha35,否,,
骑猪玩微薄,,否,,
Nigel_Bai,生活很美好！,否,,
SUPREC-,💙,否,,
忝髙雲啖,,否,,
糊涂不忘初心,做一个安静细微的人，于角落自在开放，默默悦人，却始终不引起...,否,,
在那遥远的地方有一只snow,我想一直牵着你的手，一起去远方.....走没有走过的路，爬没有...,否,,
胜利渤海钻井总公司,认证：中石化胜利石油工程有限公司渤海钻井总公司,是,机构,
质量四川,认证：中国质量新闻网四川频道官方微博。,是,机构,
张-派派,我不是一个低级的人，一个烂泥扶不上墙的人，一个顽劣的人，一...,否,,
BH4OIK,日本，鸡糞一样的小岛。,否,,
张店美食发现,,否,,
视频会员通通6块请找小紧张姑娘,我有女朋友！有女朋友！超级美！宇宙无敌美少女,否,,
你好好说话,啦啦啦啦啦啦啦啦啦啦,否,,
ZXY心怀远方,,否,,
段士瑞,,否,,
凤县统战,认证：陕西省宝鸡市凤县县委统战部官方微博,是,机构,
俺们大长春,第一时间播报长春大事小事新鲜事儿，欢迎投稿！微信平台：anme...,否,,
莫涵snow,认证：第16届亚运会开闭幕式引导员冯莫涵,是,个人,
粉兔子的小太阳,所有的故事都会有一个答案。所有的答案却未必都如最初所愿。重...,否,,
不懂政治不问国事,莫谈政治，莫论国事！,否,,
灵武交警大队,认证：宁夏银川市交警队灵武大队,是,机构,
山东微政务,认证：新浪山东微政务官方微博,是,机构,
刘岩的V博,沈阳天创玻璃窗膜有限公司 批发零售汽车玻璃窗膜 专业汽车贴膜...,否,,
沈阳日报李海英,1989年7月于辽宁大学哲学系毕业后即踏入新闻这一行，从此开启...,否,,
快乐的阿拉猴,,否,,
小蜗牛_grace,新联康的小蜗牛http://shop109163456.taobao.com/,否,,
萧小枫,一蓑烟雨任平生,否,,
燕山--老道,认证：沈阳市登山协会秘书长,是,个人,
小花乄素颜,打开幸福之门有四把钥匙：口中有德，目中有人，心中有爱，行中...,否,,
程世涛1985,,否,,
每天爱你多一些暖暖,美国代购，微信加“晶晶”,否,,
汐小曦想回家,学生,否,,
粉尕兎,,否,,
请叫我_小白,what's life without whimsy,否,,
沉住气憋住屁,空间展示设计师,否,,
独醒的小白,善于辩证的看问题，独立思考。善于把握大局。,否,,
飞雪扬扬,感受生活！创造生活！享受生活！,否,,
射日biubiubiu,,否,,
iamhappylxy,好好过日子，努力奋斗。,否,,
晓的明天,,否,,
小俊爱大白,千万别关注一下就取消，那都不是人能干出来的事。。。,否,,
闽食药闻,认证：福建省食品药品监督管理局官方微博,是,机构,
今日浦江报,认证：浙江省浦江县新闻传媒中心官方微博,是,机构,
浦江县卫计局,认证：浙江省金华市浦江县卫生局官方微博,是,机构,
文化乾务,认证：珠海市斗门区乾务镇人民政府官方微博,是,机构,
YZX璇_,开往春天的火车,否,,
rock厘米,,否,,
爱--莫能助,认证：读物博主,是,个人,
宏力天扬新能源,认证：济南宏力太阳能有限公司,是,机构,
青岛驾培处网络文明传播,,否,,
无锡滨湖旅游,认证：江苏无锡滨湖区商务（旅游）局官方微博,是,机构,
神机妙数,将易经繁杂理论化为实用数字，应用简便号码改善波涛汹涌运势。,否,,
西瓜橘子柚子大橙子,西瓜的树洞٩(˘◡˘ ),否,,
张sir围脖,玩～,否,,
鬼马的双子纠结多变的性格你造吗,认证：国家高级摄影师 微博社区专家成员,是,个人,
湖北武汉爆料,,否,,
amjoy-guo,"U got a dream, U gotta protect it",否,,
ada-Ltt,,否,,
YL袁小小,吵闹安静，任性老成，喧闹沉默，热情理性,否,,
X多忙小丸子X,~~~＂。。＞^•~~~。。处女座孩儿他麻麻…,否,,
arklee88,爱美食，爱旅行，爱公益,否,,
信于众更出众,成功不是人生的终点，是下一个梦想的开始,否,,
坚强的泡沫_D,心静会产生智慧,否,,
國畫愛上油畫,我嘛。。人一直都很好，就是有时脾气有点坏，对~是有时候。偶...,否,,
Dizz-,FIGHTING!,否,,
弱智者的悲哀_311,窝着，总会舒服的伸腰,否,,
这个日子怎么过,"Do what you love, fuck the rest",否,,
小树青葱,打开门，心无界。,否,,
阳关灿烂空间,热爱音乐，喜欢一切美好的事物！,否,,
寒冬李,,否,,
团姐日常,认证：汉中市汽车运输总公司科员,是,个人,
屠宰哥,性情中人交性情中人。,否,,
临港发布,认证：威海临港经济技术开发区官方微博,是,机构,
幸福-洋,认证：  杭州捷搜网络科技有限公司seo专员,是,个人,
1234567名字,,否,,
滨海港区微博,提倡正能量，揭露负能量，爱我大滨海。,否,,
枫杨树说桐乡,认证：本地资讯博主（嘉兴）,是,个人,
中国石化嘉兴石油,认证：中国石油化工股份有限公司浙江嘉兴石油分公司,是,机构,
CLEANFLAM高温燃烧,高温燃烧——凯飞力CLEANFLAM,否,,
MR-HIKO,,否,,
脊醫GM,认证：佛山市禅城区莱斐体育咨询工作室 创始人,是,个人,
六月冰雪恋,,否,,
岳桦NGO,认证：公益博主,是,个人,
江西环保ENGO,公益性环评报告及环保产品代售(免费对水、空气及室内甲醛等检...,否,,
诺宝的海,你想要的世界就是你看得到的世界,否,,
手机用户3277143761,,否,,
竹子张,环保公益志愿者。,否,,
尘封过往,死生契阔，今生今世，谁愿陪我撒野,否,,
清风郾城商桥,认证：漯河市郾城区商桥镇纪委官方微博,是,机构,
大赉村夫,如入火聚，得清凉门,否,,
IT壮,手机业余爱好者 个人微博,否,,
上天入地的2,有粉必回,否,,
HowNB,,否,,
八娃么_GX3_2,视如己出的关爱，相敬如宾的对待！,否,,
jdtggfy,,否,,
笑望云Roc,,否,,
zzu恋空yyf,你若盛开，清风自来,否,,
河南绿色中原,河南绿色中原环境保护协会，成立于2005年7月9日，以‘’推动公...,否,,
国网赣州供电公司,认证：国网江西省电力公司赣州供电分公司官方微博,是,机构,
徐鹏walle,,否,,
蜡笔小新213,,否,,
Victor_Chen666,Freedom or nothing,否,,
广西日报,认证：广西日报官方微博,是,机构,
宁局桂林车务段,认证：中国铁路南宁局集团有限公司桂林车务段官方微博,是,机构,
東急5050系4000番台_特急_横浜,(Tweet：@SHM_AC13_Aoba)车底刷漆哪家强 中国广西找柳厂/鐵宅/...,否,,
广西头条NEWS,中国新闻社广西分社是中国新闻社在广西设立的分支机构，是广西...,否,,
爱搭理123,,否,,
徐州日报大卫,一文字工作者！,否,,
-木子人韦-,,否,,
但又怕苦,,否,,
晋江交警驾驶人管理中队,认证：福建省晋江市公安局交通管理大队驾驶人管理中队官方微博,是,机构,
护士没空,赐我一个温暖的2017吧,否,,
祝福中国0532,认证：法律博主 前 青岛中山公益服务中心正能量首席传播员 头条文章作者,是,个人,
环境正义LGC,敬畏自然，崇尚法治！,否,,
老街公民,敢怒敢言！,否,,
知物昂先生,来来来，喝完这一杯，还有三杯,否,,
Gaolina--,生活是理想，永远热泪盈眶,否,,
高律-股权,认证：山东畅海律师事务所 律师,是,个人,
烂好人倩倩倩倩,,否,,
私缠,,否,,
噼里啪啦箍咚咚,脸皮不是一般的薄,否,,
Scofield523,时光如水，总是无言。若你安好，便是晴天。,否,,
日照环境监测,认证：山东省日照市环境监测站官方微博,是,机构,
银川环境监察,认证：银川市环境监察支队官方微博,是,机构,
慕桐的微博在此,谈恋爱应该是我的有生之年计划中完成时间最长的一个了,否,,
大林崔,举头望蓝天白云，俯首赏鱼翔浅底，,否,,
栖霞环境,认证：山东省栖霞市环境保护局官方微博,是,机构,
几何丫--,在这俗世里，不得不世俗。,否,,
林弃之,樂知，貴真，尚死，愛生。,否,,
collin3198,,否,,
南通航院1960,认证：南通航运职业技术学院官方微博,是,机构,
北二门,认证：前 江苏省广播电视总台国际频道《中国旅游》 栏目记者,是,个人,
海之殇不悔,,否,,
My璇baby,我就是我。,否,,
商洛身边事,认证：微博商洛同城大使,是,个人,
阿斯达2006,,否,,
独孤冬儿7,,否,,
步入聖殿,认证：湖北神丹健康食品有限公司贵阳办事处经理,是,个人,
兵哥铁马,一直行走路上的人，偶尔会驻足观景，抑或边走边摄,否,,
Fecilia-瑾,曾经青春无敌美少女， 后来贤妻良母小标兵，永远仪态万芳大美...,否,,
HydroGenWu,,否,,
杞人bu忧天,普通个体在历史长河中就是一粒沙，被水裹挟着，带到哪里是哪里...,否,,
金星啤酒集团,认证：金星啤酒集团官方微博,是,机构,
嘉善老顾,认证：知政观察团成员，嘉善县信息化学会顾问,是,个人,
傍雨霓虹,be a better me with my dearest jiajia,否,,
柠檬不该羡慕西瓜的甜9420,爱笑的女孩运气不会太差😊,否,,
苏锐90,,否,,
老子微评,,否,,
华商报,认证：华商报官方微博,是,机构,
天天吃青菜也瘦不下来,,否,,
Qi_Shang,,否,,
isherocean,一个水手登陆后他会成为什么样的人,否,,
任增颖,爱自然，爱生活，爱运动 。临澜环保公社QQ群号：141045397 观...,否,,
文妍钰珩,认证：情感博主 头条文章作者,是,个人,
世说陇东,,否,,
此间的少年派,温暖过很多人，最后还是剩自己半生冰冷。,否,,
文本文档--txt,新安中学 浙江大学 小涛,否,,
不断转动的风向标9,童话振红遍全球~~脱泥不带水,否,,
中国警察网,认证：中国警察网官方围脖,是,机构,
三明美食520,认证：新浪三明美食频道官方微博,是,机构,
新浪三明,认证：新浪三明官方微博,是,机构,
佛山消防在线,认证：佛山市公安消防局官方微博,是,机构,
